sentence,sentiment
Please help me if any changes can be made to the code.,neutral
Add public ``getter ''methods where necessary.,neutral
What I am trying to do.,neutral
I have integrated sonarQube for code analysis.,neutral
url WEB_ADDRESS.,neutral
"like sample1, sample2 so I can play the music like FILE_PATH format is FILE_PATH how to get that music name?? )",neutral
The customer leaves the salon.,neutral
Should have been translated to UTC time.,neutral
But the above code doesn't work outside the ``FILE_NAME JavaAgent`` FILE_NAME of the main Agent.,negative
"When I run the project, I get the following error,.",negative
The file chooser's parent was the main window.,neutral
I apologize if I missed anything obvious.,neutral
This should read all files in the single input directory.,neutral
See NativeSystem.,neutral
"Depending on what you need to accomplish, there might be better / other ways to achieve that.",neutral
"Starting with the socket IO, since Java 7 the NIO API has been available, which means you can leave the threading required to prevent blocking the main thread to the OS.",neutral
CODE_FRAGMENT is an extension of CODE_FRAGMENT that adds a CODE_FRAGMENT status code.,neutral
The only scenario I can think of is some a application container that has been requested to abort some work.,neutral
The application connects to the AD using COM4J from the API_NAME library version NUMBER.,neutral
Power tip: Stop thinking in any particular time zone.,neutral
"Well, the funny part is, we do not know.",negative
And I've added these settings to the WebMvc FILE_NAME.,neutral
"Using you current code, make this tweak.",neutral
In pre java7 simulating an ``in-memory filesystem ''is fairly complex.,neutral
"It's up to the implementation ( which will depend on the kind of input stream you're using ), but generally it's likely to use a blocking OS-level API, so the efficiency will depend on the OS.",neutral
The JUnit task page lists several ways in which you can make the FILE_NAME available to Ant.,neutral
"CODE_FRAGMENT creates a capturing group, to be referenced later.",neutral
I wrote this code to update a patient in a derby database but it throws a CODE_FRAGMENT.,negative
How should I make it to get additional string input such as another user's id?,neutral
Any help appreciated.,neutral
When I print the path of the resource using API_NAME ( ''/ resource/API _ NAME'' ) it gives the path correctly as.,positive
i have found out that i have to read the error log.,neutral
"If after retrying for set amount of repetitions call fails, onFailedAfterRetry ( ) is called.",neutral
This is not particularly unusual... or wrong.,positive
"You don't you get Neo4j cross-compiled to the client, you have to run Neo4j as part of your backend service.",neutral
Which one should be reported?,neutral
There is a caveat with the above approach.,negative
A small description of application is as follow.,neutral
