sentence,sentiment
"if someone wants to work on this please go ahead, I still plan to, just no time yet.",negative
"Waaaaay cool! I especially like the ""upload file"" option.",positive
Damn.,negative
Git is tricky that way.,negative
"Hello Leo

The patch has been applied at revision r479576, thanks a lot for this enhancement, please verify that the problem is fully fixed as you expected.",positive
"The problem is that it builds awt, and that requires some dependencies.",negative
Sorry.,negative
This half-reuse is more confusing for new devs who see this code for the first time.,negative
"Juhani..my bad, i was mistaken.",negative
"Damn, Chuck is scary.",negative
"Grumble, grumble...",negative
"why on earth would it match anything, you have not even touched the Apache install.",negative
Very cool.,positive
"Sorry, should ask first.",negative
"Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???",negative
"Yes, the patch is badly named - sorry!",negative
CSS is really confusing sometimes.,negative
"Sorry guys, I've been pretty busy @ work but I have been watching this.",negative
"Sorry I missed the ""overwrite"" keyword.",negative
"Crap, forgot to verify that this is inconsistant with MRI, it's not.",negative
My bad.,negative
"I'm against such heavy committing myself, without some consensus to do so.",negative
I don't care what we do as long as we don't change the attributes in JSP significantly.,negative
I believe in relativity :-),positive
"Hi Atul,
that looks good at a first glace.",positive
My bad.,negative
@jira - I wish you didn't suck so much.,negative
Damn time has flown...,negative
"Cheers,

Ashwin...",positive
"I doubt that Squid is so
bad at it.",negative
"I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :)",negative
"Thanks Richard,

Patch applied to NIO_CHAR module java.nio.CharsetEncoder at repo revision 389784.",positive
This is pretty trivial.,negative
That sounds like a plan. I love peer-reviews... :-),positive
Forget what I made(D8067).,negative
This is bad.,negative
i suck.,negative
"looks fine, thank you.",positive
Thanks Andi.,positive
"Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.",negative
"I don't have very much experience on branch-1, would you like to take a shot at the port?",negative
"Sorry, I took Martin's comment to mean the patch was committed and issue closed, which certainly discarded all the patches the first time around.",negative
Thank you Jing for the review.,positive
"@Matt... I'm an idiot, I used the wrong patch. Sigh.",negative
Pull it back in if you think different.,negative
Logger on top of Log4J and its abstract base class for supporting other frameworks.,negative
"Ok cool, this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp

There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints, I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)",positive
"Sorry Jacques, I'll upload another file.",negative
I'm confused.,negative
"My bad, forgot to include the test file in the patch... Resubmitting in a second. ",negative
Pretty sure this was fixed by the time we released JRuby 1.6.,positive
It seems really confusing.,negative
